id,text,genre
19,"rolls over fruit stands, smashing through a glass wall into a karaoke restaurant full of JAPANESE BUSINESSMEN, the BODY of a CASHIER thudding across the hood... ...PATRICK tries to put the cab in reverse, BUT PATRICK V.O. Patrick tries to put the cab into reverse, but... NOTHING HAPPENS. PATRICK CONT'D, V.O. ...nothing happens. PATRICK staggers out of the car shaken, he leans against it, surveying the situation TOTAL CHAOS. ...the BODY on the hood of the taxi moans in agony, smashed tables everywhere, JAPANESE BUSINESSMEN taking flash pictures, speaking in tongues, smashed fruit, a karaoke tape still playing... PATRICK Nice going, Bateman. PATRICK limps out of the newly destroyed restaurant, shaking his head in disbelief... ACROSS THE STREET A COP RUNS toward PATRICK, yelling into his walkie talkie. PATRICK V.O. Patrick has no idea where the cop across the street has come from. Patrick is stunned, but... PATRICK lunges out, knocking him to the sidewalk before the COP can get to his gun",drama
20," in anguish. ED Straight up or on the rocks? Bela drops the gun. He starts weeping. Ed walks over and hugs the shaking old man. ED Don't worry. BELA I'm sorry, Eddie. I'm so sorry. ED Don't worry. Everything's gonna be all right. CUT TO EXT. HOSPITAL STILL LATER THAT NIGHT Ed's car pulls up at the South Metropolitan State Hospital. It's a grim, unwelcoming edifice. Ed helps weak Bela from the car. They look at each other, then Ed gingerly leads Bela in. INT. HOSPITAL SAME TIME The lobby is clammy and dim. Ed and Bela reach the desk. A NURSE looks up, startled. NURSE My goodness, you gave me the willies. You look like that Dracula guy. BELA very somber My name is Bela Lugosi. I wish to commit myself. NURSE For what reason? BELA I have been a drug addict for twenty years. I need help... The nurse nods. She takes Bela's arm and leads him away. Bela glances at Ed, then steps through a wide door. As it swings shut, we see a DOCTOR walk over and shake Bela's hand. Ed stares at the door, daze",drama
21,"t expect me to be all broken up over poor Drexl. I think he was a fuckin', freeloadin', parasitic scumbag, and he got exactly what he deserved. I got no pity for a mad dog like that. I think I should get a merit badge or somethin'. Dick rests his head in his hands. CLARENCE Look, buddy, I realize I'm layin' some pretty heavy shit on ya, but I need you to rise to the occasion. So, drink some more wine. Get used to the idea, and get your friend to the phone. EXT. LOS ANGELES ZOO DAY CLOSEUP A black panther, the four legged kind, paces back and forth. Clarence, Alabama, Dick and Elliot Blitzer are walking through the zoo. One look at Elliot and you can see what type of actor he is, a real GQ, blow dry boy. As they walk and talk, Clarence is eating a box of animal crackers and Alabama is blowing soap bubbles. ELLIOT So you guys got five hundred thousand dollars worth of cola that you're unloading CLARENCE Want an animal cracker? ELLIOT Yeah, OK. He takes one. CLARENCE Leave the gorillas. E",thriller
22," sprouts. MARTHA You don't like brussel sprouts? AGNES I hate them. Martha and Mother Miriam can't help smiling. MARTHA And then what happened? AGNES We went to chapel for vespers. MARTHA Hm hmm. AGNES I left early because I wasn't feeling very well. Suddenly Agnes leaps up from her chair. MARTHA What is it? AGNES Someone's following me. MARTHA Who? AGNES Sister Marguerite I think. MARTHA Was it Sister Marguerite who knew about the baby? no answer Alright Agnes, I want you to see your room as you saw it on that night. MARTHA Cont. Open your eyes. she opens them What do you see? AGNES My bed. MARTHA What else? AGNES A crucifix. MARTHA Above the bed? Any... anything else? What do you you see, something different? What is it? AGNES puzzled A wastepaper basket. MARTHA Do you know who put it there? AGNES No. MARTHA What do you think it's there for? AGNES For me to get sick in. MARTHA Are you ill? AGNES Yes. MARTHA What do you feel? AGNES I feel as if I've eaten glass. MARTHA What do you do?",drama
23," I say he's a man who'll go far. Some people say he's gone too far but I say you can't keep a good man down. Of course, he still has a lot to learn. That big noise he made on St. Valentine's Day that wasn't very good for public relations. And letting those two witnesses get away that sure was careless. Under the table, Joe and Jerry try to make themselves as small as possible. SPATS Don't worry about those two guys they're as good as dead I almost caught up with them today. BONAPARTE turning on hearing aid You mean you let them get away twice? clicks his tongue Some people would say that was real sloppy but I say to err is human, to forgive divine. And you, Spats the boys told me you was having a birthday so we baked you a little cake. SPATS My birthday? It ain't for another four months. BONAPARTE So we're a little early. So what's a few months between friends? turning to the others All right, boys now all together singing For he's a jolly good fellow.... The other delegates, including",comedy
25,"y deposit boxes reach high up above. MANAGER This is our demonstration box He smiles confidently as if he were demonstrating something really cool and hip... MANAGER And these are the keys one for you and one for me He passes CARTER one. MANAGER We insert together and out it comes They both laugh as the box comes out of the wall she's fully aware of his game and playing along with it. 137 INT DAY VIEWING ROOM The MANAGER and CARTER step into a cramped viewing room with a small table... CARTER And this is where the client can view their contents in private... She brushes lightly over the MANAGER CARTER Its cramped in here isn't it BRIAN MANAGER Clears throat Yes it is... CARTER Tell me BRIAN, what would happen if the client lost the key? MANAGER Then we would have to call in our locksmith to break the lock CARTER So there is only one key... MANAGER That's right... CARTER And it can't be forged? MANAGER I didn't say that I'm sure it could be, but our clients must sign in first, checking ",drama
26,". There is an old cat on the bed. POP You're all packed. reaches into his pocket And here's your bus ticket. You're on your way back to St. Anne's. EDIE Pop, I'm not ready to go back yet. POP Edie, for years we pushed quarters into a cookie jar, to keep you up there with the Sisters, and to keep you from things like I just seen out the window. My own daughter arm in arm with Terry Malloy. You know who Terry Malloy is? EDIE simply Who is he, Pop? POP mimics Who is he! Edie, you're so softhearted and soft headed you wouldn't recognize the devil if he had you by the throat. You know who this Terry Malloy is? The kid brother of Charlie the Gent, Johnny Friendly's right hand, a butcher in a camel hair coat. EDIE Are you trying to tell me Terry is too? POP shouting I'm not trying to tell you he's Little Lord Fauntleroy. EDIE He tries to act tough, but there's a look in his eyes that... . POP A look in his eyes! Hold your hats, brother, here we go again. You think he's one of those cases you'",drama
27,"o Jackie. SIMON Sorry. What are those cards? JACKIE a bit embarrassed Frank's idea. He thought I should have notes so I did this right... maintained focus, didn't get emotional and tried not to terrify you. SIMON scared shitless Terrify me? JACKIE See, he's right. I need the cards. reading from cards Simon, you're broke. ANGLE ON VERDELL as their conversation continues the dog is distressed. JACKIE O.S. The medical bills are 61 thousand now. I've spoken to your parents and they didn't hang up or anything they just said they would feel strange calling you. SIMON O.S. Well, I can't reach them. Verdell walks out on the terrace and looks off. He turns for SIMON to Verdell Here, baby... what is it, Verdell?... You miss the tough guy... trying to be Melvin like Well, here I am, you little pissant mop, happy to see me? How about another ride down the chute? Oh, God... I don't mean it, sweetheart...? on Jackie's look I'm sorry. I know... Verdell hides behind a chair. JACKIE Frank loves you. Yo",drama
28,"s badge. Bailey straightens to attention. PENDERGAST Could you please take me to the officer in charge? INT. CIRCULAR STAIRWELL DAY Pendergast follows Bailey as they descend the rickety old metal staircase that goes into the bowels of the museum. The hall below them is narrowand lit by an occasional bare bulb. The stairway opens onto a maze like set of rooms in the basement. Everything around them is STREAKED and SPATTERED in BLOOD. There are trails of it on the floor, the walls, the overhead light. Several COPS stand guard as DETECTIVE VINCE D'AGOSTA goes over the area. He is a round, balding, man with an unmistakable air of authority. A modern knight in shining armor in disguise... deep disguise. He has on a cheap polyester short sleeved shirt. His t shirt is plainly visible underneath. On his worn plastic belt is a badge. D'AGOSTA Don't touch anything until the S.O.C. has finished with those stairs. Keep everyone clear of the perimeter. I don't want any contamination. There's an inc",thriller
29,"you find out where the bachelor party is? COLE Yes I did. MR. T Fine. How's everything going? COLE Not so good. He wouldn't listen to reason. He stole my car... my Porsche... I can't find it anywhere... MR. THOMERSON So, he's playing hard ball. Well, two can play that game. yelling Go after him. Stop at nothing. You hear me? COLE What? I'm sorry, sir, I can't hear you. Looking over into the next booth, he sees Thomerson's back. COLE continuing Some fat slob in the next booth is making a lot of noise. MR. THOMERSON Well, tell the asshole to shut up. COLE Right. calling off Hey, shut up. Okay, sir. MR. THOMERSON Sorry, I can't hear you. Some pin head's yelling... yelling O.S. Shut up, I'm talking here. into phone Now look, I want you to go back and I don't care what you do. Stop that marriage. He slams the phone down and EXITS SCREEN RIGHT. Cole starts to exit left when he spots Chulo getting into the elevator. CHULO Hey, man, your car's looking good. COLE crazed Where is it? CHULO Out f",comedy
30,"eaves the office. CUT TO 159A INT. CORRIDOR Vukovich pauses outside the door, lost in thought. Traxler studies him for a second. TRAXLER What? pause Ed, come on...the guy's a wacko. Vukovich glances up. VUKOVICH quietly He'd better be. CUT TO 160 INT. POLICE DEPARTMENT FOYER NIGHT 160 Silberman can be seen through a glass partition next to the bullet proof glass booth enclosing the NIGHT DESK SERGEANT'S counter. The Sergeant hits a button and there is a loud BULL CLACK. The electric bolt on the security door opens and Silberman steps out. As he exits the station, he passes Terminator just coming in the front door. He glances at the pale apparition in cap and dark wrap arounds, but goes on. Terminator approaches the Desk Sergeant who barely glances up when he speaks. TERMINATOR I'm a friend of Sarah Connor. I was told she is here. Can I see her, please? SERGEANT You can't see here. She's making a statement. TERMINATOR Where is she? SERGEANT laconically Look. It's gonna be a while. You w",thriller
31,"e, it's too late. The glass smashes in the BARTENDER's hand. DUKE Happens every day. DUKE turns to a WAITRESS with a warm smile. DUKE Three more rums. Plenty of ice. Maybe a handful of lime chunks. WAITRESS Are you guys with the police convention upstairs? DA We sure are, Miss. WAITRESS I thought so. I never heard that kind of talk around here before. Jesus Christ! How do you guys stand that kind of work? GONZO grinning We like it. It's groovy. The WAITRESS stares sickened at GONZO. DUKE What's wrong with you? Hell, somebody has to do it. GONZO Hurry up with those drinks. We're thirsty. Only two rums. Make mine a Bloody Mary. DA whacks his fist on the bar Hell, I really hate to hear this. Because everything that happens in California seems to get down our way, sooner or later. Mostly Atlanta. But that was back when the goddamn bastards were peaceful. All we had to do was to keep 'em under surveillance. They didn't roam around much... But now Jesus, it seems nobody's safe. GONZO with a ",drama
32,", or the richest, or the best born, but the best in a word, people about whom there is no question. I cannot promise you how long it will take. You can appreciate it is not an easy matter. But any gentlemen with an estate, and ten thousand a year should have a peerage. INT. DRAWING ROOM EARL OF CRABS DAY Roderick being introduced to three noblemen, including the Duke of Rutland. RODERICK V.O. The striving after this peerage, I consider to have been one of the most unlucky dealings at this period. I made unheard of sacrifices to bring it about. I can tell you bribes were administered, and in high places too so near the royal person of His Majesty that you would be astonished were I to mention what great personages condescended to receive our loans. INT. DRAWING ROOM NIGHT Roderick gives a beautiful diamond to a fat princess on her birthday. He is applauded by the other guests. RODERICK V.O. I lavished money here, and diamonds there. EXT. FARMLAND DAY Roderick and the seller, riding over",drama
33,"ibly horrendous public break up on the quad. Again. CAMERON Well, I thought we'd start with pronunciation, if that's okay with you. BIANCA Not the hacking and gagging and spitting part. Please. CAMERON looking down Okay... then how 'bout we try out some French cuisine. Saturday? Night? Bianca smiles slowly BIANCA You're asking me out. That's so cute. What's your name again? CAMERON embarrassed Forget it. Bianca seizes an opportunity. BIANCA No, no, it's my fault we didn't have a proper introduction CAMERON Cameron. BIANCA The thing is, Cameron I'm at the mercy of a particularly hideous breed of loser. My sister. I can't date until she does. CAMERON Seems like she could get a date easy enough... She fingers a lock of her hair. He looks on, dazzled. BIANCA The problem is, she's completely anti social. CAMERON Why? BIANCA Unsolved mystery. She used to be really popular when she started high school, then it was just like she got sick of it or something. CAMERON That's a shame. She reaches ",comedy
34,"r back. BILL Starla, get the hell out of here! Starla takes a couple steps back, but doesn't leave. She watches there, half in shadows as the posse creep around, searching for some trail of Grant. Margaret looks down into the bubbling creek. She sees it's turning red. She looks up the trail of red, which is rippling downhill in the water. The red flow starts somewhere near a boulder. Bill and Wally are searching in front of the boulder. Margaret SEES, but they don't, Grant pulling himself up on a tree branch and RISING behind them. Blood from a shotgun wound is dripping into the creek. Grant, pissed, lifts a tentacle. MARGARET Bill!! Bill turns as the tentacle swings down toward him. He falls back the tentacle slashes inches from his face. Bill BLASTS his shotgun up at Grant, but Grant is already slithering swiftly back into the thick brush. The posse squeeze themselves though the brush, following. EXT. OLD BARN NIGHT The posse emerge on the other side of the brush, only to be confront",comedy
35," stand alone. I'd have to be physically at the terminal. ETHAN Luther, relax, it's worse than you think. The terminal's in black vault lock down. INT. CIA CORRIDOR GUARD STATION DAY While ETHAN talks, we see what he's referring to A CIA ANALYST carrying a glass of iced tea and several file folders walks down a long corridor in the headquarters building. He comes to an impressive guard station and rests his chin on a strange looking optometric device. ETHAN V.O. They missed nothing in that room. Even the vents have laser nets over them. Apparently the device approves and the ANALYST is buzzed into a RESTRICTED area of the building. INT. CIA COMPUTER ANTEROOM DAY The ANALYST reaches a curtained area. He shoves the curtain aside and comes to a large, vaulted door. He slides a card key into a slot, leaves it there and slides a second card key into the slot beneath it. ETHAN V.O. Inside, there are three countermeasure systems that can only be deactivated by authorized entry. Which we won't ",thriller
36," enter the house. INT. BROWNSTONE DAY CONTINUOUS ACTION A WOMAN greets them and leads them through the expensively furnished house. STANTZ all business How many of them are there, ma'am? WOMAN Fourteen. They're in the back. I hope you can handle them. It's been like a nightmare. WINSTON How big are they? She holds her hand out indicating about four feet. WINSTON resolute We'll do our best, ma'am. WOMAN They're right out here. She leads them to a set of French doors that open into another room. Stantz and Winston pause to make final adjustments to their equipment. STANTZ Ready? WINSTON I'm ready. STANTZ Then let's do it. He pushes through the French doors and they step into the room. INT. BROWNSTONE DAY CONTINUOUS ACTION They are immediately attacked by fourteen or fifteen screaming KIDS between the ages of seven and ten. KIDS disappointed Ghostbusters!! Boooo!! Tables are set with party favors, ice cream and birthday cake and the room is strewn with discarded toys and games. A couple o",action
37," SCOTTY 52A striding through a vast Cargo area. Bones follows. KIRK Scotty, how long is this bay? SCOTTY About 60 feet, Admiral. KIRK That should be enough. Can you enclose it to hold water? SCOTTY I suppose I can, sir are you planning to take a swim? BONES Off the deep end, Mr. Scott. As Scotty puzzles KIRK Scotty, we have to find some Humpbacks. SCOTTY carefully Humpbacked people.? KIRK Whales, Scotty. 45 to 50 feet long about 40 tons a piece. SCOTTY Admiral how am I going to handle all that weight? KIRK You'll work it out, Scotty. And remember two of them. SCOTTY Two? KIRK It takes two to tango, Mr. Scott. And with a confident grin, Kirk exits, pursued by Bones. SCOTTY The great flood and Noah's Ark. what a way to finally go. 52B ANOTHER ANGLE THE CARGO BAY 52B As Bones catches up with Kirk. BONES You're really going to try this time travel in this rust bucket? KIRK We've done it before. BONES Sure, slingshot around the Sun. If you pick up enough speed you're in time warp. If you do",comedy
